"Bileşen Türü","Bileşen Adı","Birleşik Skor","Örüntü Kodu","Örüntü Açıklaması","Soru 1: Tespit doğru mu?","Şıklar","Cevap 1","Soru 2: Farkında mıydınız? (Cevap 1=a ise)","Şıklar","Cevap 2","Soru 3: Başka aykırılık var mı?","Şıklar","Cevap 3","Açıklama/Yorum"
"Uygulama","CentralController","1.967","WR","Bu uygulama, az sayıda yayın kanalı kullanarak çok sayıda uygulamaya dolaylı olarak erişebiliyor. Etki Alanı (R) ve Yoğunlaştırma (A) metrikleri görece yüksek.","Bu uygulama sınırlı sayıda yayın kanalıyla geniş bir uygulama kümesine ulaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","CentralController","1.967","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","CentralController","1.967","CS","Bu uygulama, birçok farklı işlevsel bağlamda (konu kategorisinde) etkileşimde bulunuyor. Bağlam Çeşitliliği (TC) metriği görece yüksek.","Bu uygulama birçok farklı işlevsel bağlamda (konu kategorisinde) yer alıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","CentralController","1.967","SD","Bu uygulama, görece yüksek sayıda ortak kütüphaneye bağımlı. Kütüphane Maruziyeti (LE) metriği görece yüksek.","Bu uygulama görece yüksek sayıda ortak kütüphaneye bağımlı mı?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","TrackManager","0.591","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","TrackManager","0.591","CS","Bu uygulama, birçok farklı işlevsel bağlamda (konu kategorisinde) etkileşimde bulunuyor. Bağlam Çeşitliliği (TC) metriği görece yüksek.","Bu uygulama birçok farklı işlevsel bağlamda (konu kategorisinde) yer alıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","TrackManager","0.591","SD","Bu uygulama, görece yüksek sayıda ortak kütüphaneye bağımlı. Kütüphane Maruziyeti (LE) metriği görece yüksek.","Bu uygulama görece yüksek sayıda ortak kütüphaneye bağımlı mı?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","RadarInterface","0.577","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","RadarInterface","0.577","CS","Bu uygulama, birçok farklı işlevsel bağlamda (konu kategorisinde) etkileşimde bulunuyor. Bağlam Çeşitliliği (TC) metriği görece yüksek.","Bu uygulama birçok farklı işlevsel bağlamda (konu kategorisinde) yer alıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","RadarInterface","0.577","SD","Bu uygulama, görece yüksek sayıda ortak kütüphaneye bağımlı. Kütüphane Maruziyeti (LE) metriği görece yüksek.","Bu uygulama görece yüksek sayıda ortak kütüphaneye bağımlı mı?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
