"Bileşen Türü","Bileşen Adı","Birleşik Skor","Örüntü Kodu","Örüntü Açıklaması","Soru 1: Tespit doğru mu?","Şıklar","Cevap 1","Soru 2: Farkında mıydınız? (Cevap 1=a ise)","Şıklar","Cevap 2","Soru 3: Başka aykırılık var mı?","Şıklar","Cevap 3","Açıklama/Yorum"
"Uygulama","CommandController","1.198","WR","Bu uygulama, az sayıda yayın kanalı kullanarak çok sayıda uygulamaya dolaylı olarak erişebiliyor. Etki Alanı (R) ve Yoğunlaştırma (A) metrikleri görece yüksek.","Bu uygulama sınırlı sayıda yayın kanalıyla geniş bir uygulama kümesine ulaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","CommandController","1.198","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","CommandController","1.198","CS","Bu uygulama, birçok farklı işlevsel bağlamda (konu kategorisinde) etkileşimde bulunuyor. Bağlam Çeşitliliği (TC) metriği görece yüksek.","Bu uygulama birçok farklı işlevsel bağlamda (konu kategorisinde) yer alıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","CommandController","1.198","SD","Bu uygulama, görece yüksek sayıda ortak kütüphaneye bağımlı. Kütüphane Maruziyeti (LE) metriği görece yüksek.","Bu uygulama görece yüksek sayıda ortak kütüphaneye bağımlı mı?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","HealthMonitor","0.923","WR","Bu uygulama, az sayıda yayın kanalı kullanarak çok sayıda uygulamaya dolaylı olarak erişebiliyor. Etki Alanı (R) ve Yoğunlaştırma (A) metrikleri görece yüksek.","Bu uygulama sınırlı sayıda yayın kanalıyla geniş bir uygulama kümesine ulaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","HealthMonitor","0.923","CS","Bu uygulama, birçok farklı işlevsel bağlamda (konu kategorisinde) etkileşimde bulunuyor. Bağlam Çeşitliliği (TC) metriği görece yüksek.","Bu uygulama birçok farklı işlevsel bağlamda (konu kategorisinde) yer alıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","HealthMonitor","0.923","SD","Bu uygulama, görece yüksek sayıda ortak kütüphaneye bağımlı. Kütüphane Maruziyeti (LE) metriği görece yüksek.","Bu uygulama görece yüksek sayıda ortak kütüphaneye bağımlı mı?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","StreamProducer","0.613","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","StreamProducer","0.613","SD","Bu uygulama, görece yüksek sayıda ortak kütüphaneye bağımlı. Kütüphane Maruziyeti (LE) metriği görece yüksek.","Bu uygulama görece yüksek sayıda ortak kütüphaneye bağımlı mı?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","RemoteController","0.600","WR","Bu uygulama, az sayıda yayın kanalı kullanarak çok sayıda uygulamaya dolaylı olarak erişebiliyor. Etki Alanı (R) ve Yoğunlaştırma (A) metrikleri görece yüksek.","Bu uygulama sınırlı sayıda yayın kanalıyla geniş bir uygulama kümesine ulaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","RemoteController","0.600","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","RemoteController","0.600","CS","Bu uygulama, birçok farklı işlevsel bağlamda (konu kategorisinde) etkileşimde bulunuyor. Bağlam Çeşitliliği (TC) metriği görece yüksek.","Bu uygulama birçok farklı işlevsel bağlamda (konu kategorisinde) yer alıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","StatusReporter","0.600","WR","Bu uygulama, az sayıda yayın kanalı kullanarak çok sayıda uygulamaya dolaylı olarak erişebiliyor. Etki Alanı (R) ve Yoğunlaştırma (A) metrikleri görece yüksek.","Bu uygulama sınırlı sayıda yayın kanalıyla geniş bir uygulama kümesine ulaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","StatusReporter","0.600","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","StatusReporter","0.600","CS","Bu uygulama, birçok farklı işlevsel bağlamda (konu kategorisinde) etkileşimde bulunuyor. Bağlam Çeşitliliği (TC) metriği görece yüksek.","Bu uygulama birçok farklı işlevsel bağlamda (konu kategorisinde) yer alıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","HealthDisplay","0.100","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","StartHandler","0.100","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","StopHandler","0.100","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","StatusDisplay","0.100","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","StartListener","0.100","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","monitor.health.status","0.937","CB","Bu konu, çok sayıda uygulamayı dengeli biçimde (hem yayıncı hem abone) birbirine bağlıyor. Kapsayıcılık (C) yüksek, Dengesizlik (I) düşük.","Bu konu çok sayıda uygulamayı dengeli biçimde birbirine bağlıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Konu","monitor.health.status","0.937","PA","Bu konu, sistem genelinde düşük bağlantılı uygulamaları bir araya topluyor. Düşük Bağlantılı Uygulama Oranı (LCR) görece yüksek.","Bu konu ağırlıklı olarak düşük bağlantılı uygulamaları bir araya topluyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","control.cmd.start","0.937","CB","Bu konu, çok sayıda uygulamayı dengeli biçimde (hem yayıncı hem abone) birbirine bağlıyor. Kapsayıcılık (C) yüksek, Dengesizlik (I) düşük.","Bu konu çok sayıda uygulamayı dengeli biçimde birbirine bağlıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Konu","control.cmd.start","0.937","PA","Bu konu, sistem genelinde düşük bağlantılı uygulamaları bir araya topluyor. Düşük Bağlantılı Uygulama Oranı (LCR) görece yüksek.","Bu konu ağırlıklı olarak düşük bağlantılı uygulamaları bir araya topluyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","control.cmd.stop","0.937","CB","Bu konu, çok sayıda uygulamayı dengeli biçimde (hem yayıncı hem abone) birbirine bağlıyor. Kapsayıcılık (C) yüksek, Dengesizlik (I) düşük.","Bu konu çok sayıda uygulamayı dengeli biçimde birbirine bağlıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Konu","control.cmd.stop","0.937","PA","Bu konu, sistem genelinde düşük bağlantılı uygulamaları bir araya topluyor. Düşük Bağlantılı Uygulama Oranı (LCR) görece yüksek.","Bu konu ağırlıklı olarak düşük bağlantılı uygulamaları bir araya topluyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","stream.data.chunk1","0.125","DC","Bu konu, tek yönlü iletişim örüntüsü sergiliyor (ağırlıklı yayın veya abonelik). Dengesizlik (I) metriği görece yüksek.","Bu konu tek yönlü iletişim örüntüsü (yayın veya abonelik ağırlıklı) sergiliyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","stream.data.chunk2","0.125","DC","Bu konu, tek yönlü iletişim örüntüsü sergiliyor (ağırlıklı yayın veya abonelik). Dengesizlik (I) metriği görece yüksek.","Bu konu tek yönlü iletişim örüntüsü (yayın veya abonelik ağırlıklı) sergiliyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","stream.data.chunk3","0.125","DC","Bu konu, tek yönlü iletişim örüntüsü sergiliyor (ağırlıklı yayın veya abonelik). Dengesizlik (I) metriği görece yüksek.","Bu konu tek yönlü iletişim örüntüsü (yayın veya abonelik ağırlıklı) sergiliyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","stream.data.chunk4","0.125","DC","Bu konu, tek yönlü iletişim örüntüsü sergiliyor (ağırlıklı yayın veya abonelik). Dengesizlik (I) metriği görece yüksek.","Bu konu tek yönlü iletişim örüntüsü (yayın veya abonelik ağırlıklı) sergiliyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","stream.data.chunk5","0.125","DC","Bu konu, tek yönlü iletişim örüntüsü sergiliyor (ağırlıklı yayın veya abonelik). Dengesizlik (I) metriği görece yüksek.","Bu konu tek yönlü iletişim örüntüsü (yayın veya abonelik ağırlıklı) sergiliyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","stream.data.chunk6","0.125","DC","Bu konu, tek yönlü iletişim örüntüsü sergiliyor (ağırlıklı yayın veya abonelik). Dengesizlik (I) metriği görece yüksek.","Bu konu tek yönlü iletişim örüntüsü (yayın veya abonelik ağırlıklı) sergiliyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Konu","stream.data.chunk7","0.125","DC","Bu konu, tek yönlü iletişim örüntüsü sergiliyor (ağırlıklı yayın veya abonelik). Dengesizlik (I) metriği görece yüksek.","Bu konu tek yönlü iletişim örüntüsü (yayın veya abonelik ağırlıklı) sergiliyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Çalışma Düğümü","StreamServer","1.180","IH","Bu çalışma düğümünde hem çok sayıda uygulama konumlanmış hem de uygulamalar arası etkileşim yoğun. Düğüm Yoğunluğu (ND) ve Düğüm İçi Etkileşim (NID) görece yüksek.","Bu çalışma düğümünde yüksek uygulama yoğunluğu ve düğüm içi etkileşim yoğunluğu var mı?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
