"Bileşen Türü","Bileşen Adı","Birleşik Skor","Örüntü Kodu","Örüntü Açıklaması","Soru 1: Tespit doğru mu?","Şıklar","Cevap 1","Soru 2: Farkında mıydınız? (Cevap 1=a ise)","Şıklar","Cevap 2","Soru 3: Başka aykırılık var mı?","Şıklar","Cevap 3","Açıklama/Yorum"
"Uygulama","IntegrationHub","0.830","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","IntegrationHub","0.830","CS","Bu uygulama, birçok farklı işlevsel bağlamda (konu kategorisinde) etkileşimde bulunuyor. Bağlam Çeşitliliği (TC) metriği görece yüksek.","Bu uygulama birçok farklı işlevsel bağlamda (konu kategorisinde) yer alıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","IntegrationHub","0.830","SD","Bu uygulama, görece yüksek sayıda ortak kütüphaneye bağımlı. Kütüphane Maruziyeti (LE) metriği görece yüksek.","Bu uygulama görece yüksek sayıda ortak kütüphaneye bağımlı mı?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","LogBridge","0.720","WR","Bu uygulama, az sayıda yayın kanalı kullanarak çok sayıda uygulamaya dolaylı olarak erişebiliyor. Etki Alanı (R) ve Yoğunlaştırma (A) metrikleri görece yüksek.","Bu uygulama sınırlı sayıda yayın kanalıyla geniş bir uygulama kümesine ulaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","LogBridge","0.720","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","LogBridge","0.720","CS","Bu uygulama, birçok farklı işlevsel bağlamda (konu kategorisinde) etkileşimde bulunuyor. Bağlam Çeşitliliği (TC) metriği görece yüksek.","Bu uygulama birçok farklı işlevsel bağlamda (konu kategorisinde) yer alıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","LogBridge","0.720","SD","Bu uygulama, görece yüksek sayıda ortak kütüphaneye bağımlı. Kütüphane Maruziyeti (LE) metriği görece yüksek.","Bu uygulama görece yüksek sayıda ortak kütüphaneye bağımlı mı?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","NavProcessor","0.610","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","NavProcessor","0.610","CS","Bu uygulama, birçok farklı işlevsel bağlamda (konu kategorisinde) etkileşimde bulunuyor. Bağlam Çeşitliliği (TC) metriği görece yüksek.","Bu uygulama birçok farklı işlevsel bağlamda (konu kategorisinde) yer alıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","NavProcessor","0.610","SD","Bu uygulama, görece yüksek sayıda ortak kütüphaneye bağımlı. Kütüphane Maruziyeti (LE) metriği görece yüksek.","Bu uygulama görece yüksek sayıda ortak kütüphaneye bağımlı mı?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","SensorBridge","0.610","WR","Bu uygulama, az sayıda yayın kanalı kullanarak çok sayıda uygulamaya dolaylı olarak erişebiliyor. Etki Alanı (R) ve Yoğunlaştırma (A) metrikleri görece yüksek.","Bu uygulama sınırlı sayıda yayın kanalıyla geniş bir uygulama kümesine ulaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","SensorBridge","0.610","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","SensorBridge","0.610","CS","Bu uygulama, birçok farklı işlevsel bağlamda (konu kategorisinde) etkileşimde bulunuyor. Bağlam Çeşitliliği (TC) metriği görece yüksek.","Bu uygulama birçok farklı işlevsel bağlamda (konu kategorisinde) yer alıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","NavDisplay","0.577","WR","Bu uygulama, az sayıda yayın kanalı kullanarak çok sayıda uygulamaya dolaylı olarak erişebiliyor. Etki Alanı (R) ve Yoğunlaştırma (A) metrikleri görece yüksek.","Bu uygulama sınırlı sayıda yayın kanalıyla geniş bir uygulama kümesine ulaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","NavDisplay","0.577","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","NavDisplay","0.577","SD","Bu uygulama, görece yüksek sayıda ortak kütüphaneye bağımlı. Kütüphane Maruziyeti (LE) metriği görece yüksek.","Bu uygulama görece yüksek sayıda ortak kütüphaneye bağımlı mı?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","Bu bileşen için tespit edilenler dışında başka bir yapısal aykırılık var mı?","(a) Hayır | (b) Evet (açıklayınız)","",""
"Uygulama","WeaponsBridge","0.470","WR","Bu uygulama, az sayıda yayın kanalı kullanarak çok sayıda uygulamaya dolaylı olarak erişebiliyor. Etki Alanı (R) ve Yoğunlaştırma (A) metrikleri görece yüksek.","Bu uygulama sınırlı sayıda yayın kanalıyla geniş bir uygulama kümesine ulaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
"Uygulama","WeaponsBridge","0.470","RS","Bu uygulama, yayıncı veya abone rollerinden birinde belirgin şekilde yoğunlaşıyor. Rol Asimetrisi (RA) metriği görece uç değerde.","Bu uygulama ağırlıklı olarak yayıncı veya abone rolünde yoğunlaşıyor mu?","(a) Evet | (b) Hayır","","Bu durum için farkında mıydınız?","(a) Evet, tasarımsal bir tercih | (b) Hayır, fark edilmemişti","","","","",""
